bairro,percentual_verde,lat,lon,ano,mes,temp_max_media,temp_max_abs,chuva_total,umidade_min_media,estacao
Grajaú,0.6083253181402659,-22.9,-43.26,2022,2,28.717857142857145,33.2,177.6,67.60714285714286,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2022,3,32.13870967741936,36.7,55.1,47.354838709677416,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2022,4,27.32,34.1,129.4,65.43333333333334,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2022,5,25.451612903225808,32.2,37.9,59.096774193548384,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2022,6,23.933333333333334,27.8,71.8,62.3,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2022,7,26.60967741935484,31.4,21.0,50.0,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2022,8,24.916129032258063,32.8,50.3,54.32258064516129,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2022,9,24.546666666666667,36.1,134.3,57.53333333333333,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2022,10,27.34193548387097,33.3,74.9,65.74193548387096,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2022,11,25.78,32.2,179.5,66.13333333333334,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2022,12,27.870967741935484,34.0,193.3,65.2258064516129,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2023,1,29.016129032258064,32.7,225.3,67.74193548387096,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2023,2,30.814285714285717,35.4,205.3,64.78571428571429,Verao
Grajaú,0.6083253181402659,-22.9,-43.26,2023,3,30.09032258064516,35.3,82.4,61.774193548387096,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2023,4,26.916666666666668,30.6,81.0,62.3,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2023,5,25.161290322580644,29.5,57.8,63.096774193548384,Outono
Grajaú,0.6083253181402659,-22.9,-43.26,2023,6,25.58333333333333,30.0,21.6,53.3,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2023,7,25.712903225806453,35.2,50.4,49.193548387096776,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2023,8,26.93870967741936,37.3,104.2,54.87096774193548,Inverno
Grajaú,0.6083253181402659,-22.9,-43.26,2023,9,29.926666666666662,39.1,35.7,49.5,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2023,10,28.567741935483877,36.0,68.6,62.38709677419355,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2023,11,30.953333333333333,42.0,77.7,54.13333333333333,Primavera
Grajaú,0.6083253181402659,-22.9,-43.26,2023,12,30.94516129032258,38.5,102.9,55.67741935483871,Verao
Grumari,6.831609744261997,-23.035,-43.518,2020,1,27.93548387096774,34.0,97.7,58.70967741935484,Verao
Grumari,6.831609744261997,-23.035,-43.518,2020,2,26.53448275862069,32.2,290.4,69.58620689655173,Verao
Grumari,6.831609744261997,-23.035,-43.518,2020,3,24.74516129032258,30.5,198.9,72.3225806451613,Outono
Grumari,6.831609744261997,-23.035,-43.518,2020,4,23.80333333333333,28.6,58.1,67.63333333333334,Outono
Grumari,6.831609744261997,-23.035,-43.518,2020,5,23.325806451612905,29.0,104.9,59.80645161290322,Outono
Grumari,6.831609744261997,-23.035,-43.518,2020,6,24.816666666666663,30.4,29.4,56.73333333333333,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2020,7,23.90967741935484,30.0,59.0,54.29032258064516,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2020,8,23.01935483870968,31.2,69.1,56.64516129032258,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2020,9,25.83,34.7,128.1,59.56666666666667,Primavera
Grumari,6.831609744261997,-23.035,-43.518,2020,10,25.216129032258067,36.1,97.5,62.483870967741936,Primavera
Grumari,6.831609744261997,-23.035,-43.518,2020,11,23.85666666666667,30.1,120.0,69.2,Primavera
Grumari,6.831609744261997,-23.035,-43.518,2020,12,26.641935483870967,33.0,164.0,67.70967741935483,Verao
Grumari,6.831609744261997,-23.035,-43.518,2021,1,29.074193548387097,35.5,158.20000000000002,54.12903225806452,Verao
Grumari,6.831609744261997,-23.035,-43.518,2021,2,27.13214285714286,32.6,95.7,62.285714285714285,Verao
Grumari,6.831609744261997,-23.035,-43.518,2021,3,28.74516129032258,32.9,64.7,54.25806451612903,Outono
Grumari,6.831609744261997,-23.035,-43.518,2021,4,24.10666666666667,31.3,132.1,62.333333333333336,Outono
Grumari,6.831609744261997,-23.035,-43.518,2021,5,23.19677419354839,32.1,45.1,63.03225806451613,Outono
Grumari,6.831609744261997,-23.035,-43.518,2021,6,22.290000000000003,27.8,54.8,63.0,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2021,7,21.351612903225806,30.2,34.7,54.45161290322581,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2021,8,23.325806451612905,32.8,59.9,56.516129032258064,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2021,9,23.89333333333333,34.3,25.0,63.766666666666666,Primavera
Grumari,6.831609744261997,-23.035,-43.518,2021,10,23.07741935483871,30.6,168.7,71.90322580645162,Primavera
Grumari,6.831609744261997,-23.035,-43.518,2021,11,23.296666666666667,29.9,128.8,70.7,Primavera
Grumari,6.831609744261997,-23.035,-43.518,2021,12,25.306451612903224,32.7,166.5,66.96774193548387,Verao
Grumari,6.831609744261997,-23.035,-43.518,2022,1,27.11935483870968,34.8,191.1,68.48387096774194,Verao
Grumari,6.831609744261997,-23.035,-43.518,2022,2,26.55,30.6,134.5,69.39285714285714,Verao
Grumari,6.831609744261997,-23.035,-43.518,2022,3,28.9,33.7,59.400000000000006,55.87096774193548,Outono
Grumari,6.831609744261997,-23.035,-43.518,2022,4,24.736666666666668,31.9,304.0,70.06666666666666,Outono
Grumari,6.831609744261997,-23.035,-43.518,2022,5,22.90322580645161,28.7,51.1,63.61290322580645,Outono
Grumari,6.831609744261997,-23.035,-43.518,2022,6,21.67,27.1,70.3,63.23333333333333,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2022,7,24.280645161290323,29.6,21.0,55.54838709677419,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2022,8,22.44516129032258,29.8,68.0,58.2258064516129,Inverno
Grumari,6.831609744261997,-23.035,-43.518,2022,9,21.936666666666667,34.0,192.9,62.06666666666667,Primavera
